order_date,product_category,product_name,sales_amount,quantity,customer_id,customer_type,region,channel
2024-04-12,Electronics,Electronics Product,128.13,3,1458,Returning,West,Online
2024-03-28,Clothing,Clothing Product,328.5,4,1413,Returning,North,Online
2024-10-20,Electronics,Electronics Product,40.24,4,1699,Returning,South,Offline
2024-09-27,Home,Home Product,177.15,4,1831,New,South,Offline
2024-05-10,Clothing,Clothing Product,78.4,2,1564,Returning,North,Offline
2024-12-05,Clothing,Clothing Product,267.17,3,1205,Returning,West,Offline
2024-03-21,Home,Home Product,366.7,5,1702,New,West,Offline
2024-08-05,Home,Home Product,271.62,4,1701,Returning,West,Online
2024-10-22,Electronics,Electronics Product,119.2,4,1492,Returning,North,Online
2024-02-10,Clothing,Clothing Product,147.16,1,1343,New,North,Online
2024-05-08,Clothing,Clothing Product,253.66,5,1489,Returning,West,Offline
2024-08-18,Electronics,Electronics Product,245.3,4,1929,Returning,South,Offline
2024-02-02,Clothing,Clothing Product,248.75,3,1546,New,West,Online
2024-08-14,Clothing,Clothing Product,281.37,2,1502,Returning,North,Offline
2024-09-11,Clothing,Clothing Product,143.23,3,1574,Returning,South,Online
2024-12-17,Electronics,Electronics Product,142.07,5,1406,Returning,East,Online
2024-08-18,Clothing,Clothing Product,187.27,4,1577,New,North,Offline
2024-06-18,Home,Home Product,174.39,4,1619,Returning,North,Offline
2024-02-13,Home,Home Product,180.34,1,1384,New,West,Offline
2024-10-09,Electronics,Electronics Product,111.23,3,1648,Returning,South,Offline
2024-11-13,Electronics,Electronics Product,190.32,1,1691,New,North,Online
2024-04-22,Electronics,Electronics Product,224.24,2,1386,New,South,Online
2024-04-22,Electronics,Electronics Product,196.14,5,1735,New,North,Offline
2024-08-12,Clothing,Clothing Product,220.69,2,1671,Returning,North,Offline
2024-07-16,Clothing,Clothing Product,247.46,5,1883,Returning,West,Offline
2024-04-07,Home,Home Product,145.44,1,1200,New,South,Online
2024-05-03,Home,Home Product,134.19,2,1962,Returning,East,Offline
2024-05-26,Clothing,Clothing Product,159.06,2,1871,Returning,West,Online
2024-05-08,Electronics,Electronics Product,178.6,4,1143,Returning,East,Online
2024-12-11,Electronics,Electronics Product,233.37,1,1303,New,West,Online
2024-09-10,Electronics,Electronics Product,125.78,3,1403,Returning,West,Offline
2024-05-31,Electronics,Electronics Product,120.77,4,1421,New,South,Offline
2024-04-13,Home,Home Product,210.49,3,1719,New,West,Online
2024-06-17,Electronics,Electronics Product,126.99,4,1503,Returning,West,Online
2024-05-14,Electronics,Electronics Product,336.4,5,1562,Returning,East,Online
2024-09-20,Clothing,Clothing Product,208.82,4,1878,Returning,East,Offline
2024-11-12,Clothing,Clothing Product,93.0,3,1891,Returning,West,Offline
2024-08-20,Electronics,Electronics Product,185.41,3,1699,Returning,North,Online
2024-04-25,Electronics,Electronics Product,144.44,1,1734,Returning,East,Online
2024-02-23,Clothing,Clothing Product,169.22,2,1638,New,South,Offline
2024-06-03,Home,Home Product,225.12,5,1681,Returning,South,Online
2024-09-03,Clothing,Clothing Product,117.23,4,1505,Returning,South,Online
2024-11-08,Electronics,Electronics Product,166.64,3,1470,New,West,Online
